City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kongolo,CD,-5.38,27.00,69.4,96,100,3.6,overcast clouds
83,Sosnovo-Ozerskoye,RU,52.52,111.54,1.29,90,99,10.4,overcast clouds
84,Llallagua,BO,-18.42,-66.63,44.17,85,99,2.53,overcast clouds
85,Castro,BR,-24.79,-50.01,63.9,98,99,3.33,overcast clouds
86,Khatanga,RU,71.97,102.50,-30.86,100,97,4.23,overcast clouds
87,Avarua,CK,-21.21,-159.78,78.85,83,40,13.8,scattered clouds
88,Puerto Escondido,MX,15.85,-97.07,73.26,75,0,4.09,clear sky
89,Souillac,MU,-20.52,57.52,84.58,84,75,26.46,light rain
90,Billings,US,45.78,-108.50,26.37,46,100,12.66,overcast clouds
91,Sakaide,JP,34.32,133.85,49.53,52,75,13.8,broken clouds
92,Ancud,CL,-41.87,-73.82,56.73,95,94,4.41,overcast clouds
93,Talnakh,RU,69.49,88.40,-11.76,98,58,7.58,broken clouds
94,Corner Brook,CA,48.97,-57.95,27.21,97,100,3.67,overcast clouds
95,Abu Dhabi,AE,24.47,54.37,73.51,67,0,3.44,clear sky
96,Provideniya,RU,64.38,-173.30,0.46,66,1,20.49,clear sky
97,Bismil,TR,37.85,40.67,51.42,82,100,4.7,light rain
98,Raudeberg,NO,61.99,5.14,38.07,85,100,10.0,light rain
99,Graaff-Reinet,ZA,-32.25,24.53,65.91,75,99,3.87,overcast clouds
100,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,78.55,73,73,7.61,broken clouds
101,Moron,AR,-34.65,-58.62,70.99,94,0,3.58,clear sky
102,Kiama,AU,-34.68,150.87,72.57,60,46,1.01,light rain
103,Porto Novo,BJ,6.50,2.60,78.62,66,1,2.44,clear sky
104,Dudinka,RU,69.41,86.18,-16.51,100,78,4.74,broken clouds
105,Yendi,GH,9.44,-0.01,74.86,12,22,7.11,few clouds
106,Ilulissat,GL,69.22,-51.10,15.82,79,75,4.61,light shower snow
107,Ribeira Grande,PT,38.52,-28.70,59.4,63,20,11.5,few clouds
108,Chifeng,CN,42.27,118.96,13.89,43,1,15.37,clear sky
109,Meulaboh,ID,4.14,96.13,84.29,66,65,5.75,broken clouds
110,East London,ZA,-33.02,27.91,70.74,73,0,14.97,clear sky
111,Poshekhonye,RU,58.50,39.14,16.0,96,92,3.51,overcast clouds
112,Longyearbyen,SJ,78.22,15.64,13.84,79,75,6.91,broken clouds
113,Wakkanai,JP,45.41,141.67,22.98,74,75,18.41,broken clouds
114,Camacha,PT,33.08,-16.33,62.53,94,75,1.14,broken clouds
115,Thompson,CA,55.74,-97.86,-23.64,76,0,3.44,clear sky
116,Berlevag,NO,70.86,29.09,15.75,73,0,11.5,clear sky
117,Cabo San Lucas,MX,22.89,-109.91,64.51,70,0,4.18,clear sky
118,Mount Isa,AU,-20.73,139.50,89.37,22,83,17.27,broken clouds
119,Concordia,AR,-31.39,-58.02,70.79,95,0,1.99,clear sky
120,Klaksvik,FO,62.23,-6.59,34.72,71,100,44.0,overcast clouds
121,Busselton,AU,-33.65,115.33,99.09,38,0,8.32,clear sky
122,Katobu,ID,-4.94,122.53,87.94,56,61,7.16,broken clouds
123,Morant Bay,JM,17.88,-76.41,76.62,83,6,8.14,clear sky
124,Henties Bay,NA,-22.12,14.28,65.86,72,5,6.08,clear sky
125,Tahe,CN,52.33,124.73,2.23,82,100,8.99,overcast clouds
126,Surab,PK,28.49,66.26,56.73,9,0,14.56,clear sky
127,Faanui,PF,-16.48,-151.75,80.78,76,10,15.79,clear sky
128,Kapaa,US,22.08,-159.32,66.52,59,40,4.61,scattered clouds
129,Avera,US,33.19,-82.53,66.7,82,100,15.12,overcast clouds
130,Vanimo,PG,-2.67,141.30,81.63,77,67,6.78,broken clouds
131,Iguape,BR,-24.71,-47.56,73.2,95,100,4.0,overcast clouds
132,Flin Flon,CA,54.77,-101.86,-23.4,97,7,5.75,clear sky
133,Srednekolymsk,RU,67.45,153.68,-34.15,100,71,1.86,broken clouds
134,Nantong,CN,32.03,120.87,46.78,42,6,7.94,clear sky
135,Cockburn Town,TC,21.46,-71.14,75.34,72,90,19.33,overcast clouds
136,Palmares Do Sul,BR,-30.26,-50.51,74.61,84,100,6.33,overcast clouds
137,Luderitz,NA,-26.65,15.16,75.45,56,8,6.89,clear sky
138,Mitsamiouli,KM,-11.38,43.28,88.09,70,40,5.75,light rain
139,Moose Factory,CA,51.26,-80.61,-20.2,69,0,3.44,clear sky
140,Lebu,CL,-37.62,-73.65,60.49,88,91,14.03,overcast clouds
141,Asau,RO,46.43,26.40,34.39,70,71,5.64,broken clouds
142,Montego Bay,JM,18.47,-77.92,75.0,78,20,2.3,few clouds
143,Telde,ES,27.99,-15.42,73.62,20,0,13.8,clear sky
144,Lagoa,PT,39.05,-27.98,57.42,82,100,13.09,overcast clouds
