City_ID,City,Country,Date,Lat,Lng,Max Temp,Max Temp,Max Temp,Max Temp,Humidity,Cloudiness,Wind Speed
52,Bethel,US,2022-02-02 21:57:00,41.3712,-73.414,41.41,41.41,41.41,41.41,100,100,1.14
53,Avarua,CK,2022-02-02 21:55:54,-21.2078,-159.775,80.65,80.65,80.65,80.65,89,75,17.27
54,Caravelas,BR,2022-02-02 21:57:01,-17.7125,-39.2481,78.42,78.42,78.42,78.42,84,100,5.35
55,Buraydah,SA,2022-02-02 21:57:01,26.326,43.975,54.05,54.05,54.05,54.05,37,0,9.31
56,Butaritari,KI,2022-02-02 21:57:01,3.0707,172.7902,81.73,81.73,81.73,81.73,79,29,17.83
57,Port Hardy,CA,2022-02-02 21:57:02,50.6996,-127.4199,37.58,37.58,37.58,37.58,93,100,10.36
58,Tessalit,ML,2022-02-02 21:57:02,20.1986,1.0114,63.05,63.05,63.05,63.05,12,0,10.54
59,Saint-Joseph,RE,2022-02-02 21:57:03,-21.3667,55.6167,79.18,79.18,79.18,79.18,92,100,32.99
60,Port Augusta,AU,2022-02-02 21:52:42,-32.5,137.7667,62.74,62.74,62.74,62.74,53,0,14.07
61,San Patricio,US,2022-02-02 21:55:13,28.017,-97.5169,80.58,80.58,80.58,80.58,70,94,14.38
62,Lasa,IT,2022-02-02 21:56:03,46.6166,10.7002,40.03,40.03,40.03,40.03,94,77,8.19
63,Kununurra,AU,2022-02-02 21:57:04,-15.7667,128.7333,75.18,75.18,75.18,75.18,94,99,3.44
64,Sitka,US,2022-02-02 21:57:04,57.0531,-135.33,37.29,37.29,37.29,37.29,93,100,4.61
65,Bredasdorp,ZA,2022-02-02 21:57:05,-34.5322,20.0403,69.12,69.12,69.12,69.12,73,47,8.05
66,Kapaa,US,2022-02-02 21:57:05,22.0752,-159.319,80.11,80.11,80.11,80.11,59,4,3.0
67,Aguimes,ES,2022-02-02 21:57:06,27.9054,-15.4461,66.83,66.83,66.83,66.83,52,0,20.71
68,Saint-Augustin,CA,2022-02-02 21:57:06,51.226,-58.6502,23.79,23.79,23.79,23.79,82,100,24.43
69,Kruisfontein,ZA,2022-02-02 21:57:06,-34.0033,24.7314,69.89,69.89,69.89,69.89,92,100,6.93
70,Sfantu Gheorghe,RO,2022-02-02 21:54:24,45.8667,25.7833,29.82,29.82,29.82,29.82,97,100,2.1
71,Sao Filipe,CV,2022-02-02 21:57:07,14.8961,-24.4956,75.78,75.78,75.78,75.78,65,3,17.96
72,Leningradskiy,RU,2022-02-02 21:57:08,69.3833,178.4167,-14.39,-14.39,-14.39,-14.39,95,30,9.86
73,Amapa,BR,2022-02-02 21:57:08,1.0,-52.0,72.0,72.0,72.0,72.0,99,100,3.87
74,Aborlan,PH,2022-02-02 21:57:08,9.4352,118.5492,78.37,78.37,78.37,78.37,87,83,8.12
75,Yeniseysk,RU,2022-02-02 21:57:09,58.4497,92.1703,4.15,4.15,4.15,4.15,97,96,3.47
76,Sorong,ID,2022-02-02 21:52:22,-0.8833,131.25,77.18,77.18,77.18,77.18,88,100,4.45
77,Airai,TL,2022-02-02 21:57:09,-8.9266,125.4092,60.66,60.66,60.66,60.66,89,100,2.35
78,Bud,US,2022-02-02 21:57:10,39.447,-86.1758,43.75,43.75,43.75,43.75,97,100,13.89
79,Hopkinsville,US,2022-02-02 21:57:10,36.8656,-87.4886,52.5,52.5,52.5,52.5,95,100,5.01
80,Salisbury,GB,2022-02-02 21:54:22,51.0693,-1.7957,49.08,49.08,49.08,49.08,87,100,4.85
81,Dingle,PH,2022-02-02 21:55:56,10.9995,122.6711,74.23,74.23,74.23,74.23,93,99,8.1
82,Flinders,AU,2022-02-02 21:57:11,-34.5833,150.8552,67.37,67.37,67.37,67.37,71,80,15.01
83,Kloulklubed,PW,2022-02-02 21:57:11,7.0419,134.2556,80.87,80.87,80.87,80.87,78,100,18.7
84,Vadinsk,RU,2022-02-02 21:57:12,53.6916,43.0574,19.76,19.76,19.76,19.76,100,100,1.97
85,Zhanaozen,KZ,2022-02-02 21:57:12,43.3,52.8,39.31,39.31,39.31,39.31,77,60,13.82
86,Yulara,AU,2022-02-02 21:55:39,-25.2406,130.9889,66.04,66.04,66.04,66.04,59,100,12.66
87,Itaituba,BR,2022-02-02 21:57:13,-4.2761,-55.9836,87.96,87.96,87.96,87.96,66,20,5.75
