City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Yarada,IN,84.52,haze,17.65,83.27,Yarada Jungle Beach Resorts
367,Pemba,MZ,83.1,broken clouds,-12.97,40.52,Guesthouse Samotina
370,Noumea,NC,84.18,overcast clouds,-22.28,166.46,Hôtel Le Lagon
371,Inhambane,MZ,87.78,broken clouds,-23.86,35.38,Oceano
374,Salalah,OM,84.56,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
377,Naifaru,MV,81.59,scattered clouds,5.44,73.37,Naifaru Residence Guest House
384,Muncar,ID,86.67,overcast clouds,-8.43,114.33,Zaky Homestay
389,Dingle,PH,76.44,overcast clouds,11.0,122.67,SEGAYA PROPERTY
394,Posadas,AR,75.18,few clouds,-27.37,-55.9,Hotel Posadas
399,Hervey Bay,AU,80.04,broken clouds,-25.3,152.85,Shelly Bay Resort
401,Saint-Joseph,RE,80.96,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
402,Tsabong,BW,82.98,clear sky,-26.02,22.4,Springbok Motel
407,Banda Aceh,ID,85.01,broken clouds,5.56,95.32,Sulthan Hotel International
411,Tual,ID,83.77,broken clouds,-5.67,132.75,Grand Vilia Hotel
413,Quatre Cocos,MU,84.31,light rain,-20.21,57.76,Sunrise Attitude Hotel
418,Biak,ID,83.28,overcast clouds,-0.91,122.88,Penginapan Kim
419,Namatanai,PG,81.61,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
420,Kloulklubed,PW,82.85,clear sky,7.04,134.26,Storyboard Beach Resort
425,Waingapu,ID,86.65,light rain,-9.66,120.26,Pondok Wisata Elim
427,Wenchi,GH,76.53,clear sky,7.74,-2.1,Ebenezer Hotel
430,Martapura,ID,80.69,very heavy rain,-3.42,114.85,Montana Hotel Syariah
447,Le Port,RE,82.36,light rain,-20.94,55.29,KORBEY D'OR OUEST
451,Padang,ID,84.25,overcast clouds,-0.95,100.35,Mercure Padang
461,Cayenne,GF,78.1,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
462,Bossangoa,CF,82.06,broken clouds,6.49,17.46,NDILBO PRINCE HÉRITIER
468,Alice Springs,AU,80.15,broken clouds,-23.7,133.88,Desert Palms Alice Springs
469,Kalmunai,LK,82.78,clear sky,7.42,81.82,VS Villa
470,Bowen,AU,75.42,light rain,-20.02,148.23,Castle Motor Lodge Motel
472,Macherla,IN,88.27,overcast clouds,16.48,79.43,Krithik sheep and berasa kolla farm
